App Name,Publisher,Link,Full Description,Shared Data,Collected Data,Security Practices
Help AI: Your Homework With AI,IAStudio,https://play.google.com/store/apps/details?id=br.com.iastudio.ajudaai,Solve your homework and any questions with Artificial Intelligence!,"Personal info, App activity, App info and performance, Location, Device or other IDs","Personal info, App activity, App info and performance, Financial info, Location, Device or other IDs","Data is encrypted in transit, You can request that data be deleted"
Photify AI: AI Photo Generator,"Ex-human, Inc",https://play.google.com/store/apps/details?id=ai.photify.app,Fastest AI Video & Headshot Generator,,"Device or other IDs, App info and performance, App activity","Data is encrypted in transit, Data can’t be deleted"
ChatBox: AI Chat Bot Assistant,FLORATE LIMITED,https://play.google.com/store/apps/details?id=chatgpt.ai.chatbot.open.chat.gpt.bot.writer.assistant,"All AI Models in One App. Chatbot, Smart Assistant, AI Text & Image Generator","App info and performance, App activity, Financial info, Device or other IDs, Personal info, Location","App info and performance, App activity, Financial info, Device or other IDs, Location","Data is encrypted in transit, Data can’t be deleted"
Chatbot AI - Chat & Ask AI,Newway Apps,https://play.google.com/store/apps/details?id=newway.open.chatgpt.ai.chat.bot.free,"Meet DeepSeek V3 & R1, open chat with smart assistant built on latest AI models","Personal info, Device or other IDs",,"Data is encrypted in transit, You can request that data be deleted"
"Pi, Your Personal AI Assistant",Inflection AI,https://play.google.com/store/apps/details?id=ai.inflection.pi,"Your personal AI friend for emotional support, personal growth & learning!",,"Personal info, App info and performance, App activity","Data is encrypted in transit, You can request that data be deleted"
AI Chat Smith Smart Assistant,Smart Widget Labs Co Ltd,https://play.google.com/store/apps/details?id=com.smartwidgetlabs.chatgpt,"All in one AI Chatbot Chat Smith: Image Generator, Math Solve, Writing Assistant",,"Photos and videos, Audio, Device or other IDs, App info and performance","Data isn’t encrypted, Data can’t be deleted"
AI Mirror: Hugs Video & Photo,POLYVERSE INC.,https://play.google.com/store/apps/details?id=com.ai.polyverse.mirror,"AI Filter, Hugs Video, Cartoon Character & Photo Editor",Device or other IDs,,"Data is encrypted in transit, Data can’t be deleted"
Leonardo.Ai - Image Generator,Leonardo.Ai,https://play.google.com/store/apps/details?id=ai.leonardo.leonardo,Create stunning art with AI.,,"Location, Device or other IDs, App activity, Personal info, App info and performance","Data is encrypted in transit, You can request that data be deleted"
Chatbot - AI Smart Assistant,HubX,https://play.google.com/store/apps/details?id=ai.chat.app,"AI Chatbot: Writing, web search, math solve, image generation, DeepSeek & more.",,"Files and docs, Financial info, Device or other IDs, Personal info, Photos and videos","Data isn’t encrypted, You can request that data be deleted"
Gencraft - AI Art Generator,Gencraft,https://play.google.com/store/apps/details?id=com.gencraftandroid,"AI Art and Image Generator, AI Art Social Network",,"Personal info, App activity, App info and performance, Financial info","Data is encrypted in transit, You can request that data be deleted"
starryai - AI Art Generator,starryai Inc.,https://play.google.com/store/apps/details?id=com.starryai,"AI generated images & photos, turn your words into drawing, painting & pictures.",,"Device or other IDs, App activity, Personal info","Data is encrypted in transit, You can request that data be deleted"
AI Game Master - Dungeon RPG,Digital Dynasty Entertainment,https://play.google.com/store/apps/details?id=com.aisuccess.ai_game_master,"AI Text Based RPG |Create Unique Text Adventures, AI Stories & Roleplaying Games","Device or other IDs, Personal info, App activity","Device or other IDs, Personal info, App activity","Data is encrypted in transit, You can request that data be deleted"
WOMBO Dream - AI Art Generator,Wombo Studios Inc,https://play.google.com/store/apps/details?id=com.womboai.wombodream,Dream up AI paintings & drawings. Generate unique pictures & cartoon art easily.,,"App info and performance, Personal info, Device or other IDs, App activity","Data is encrypted in transit, You can request that data be deleted"
Paradot: Personal AI chat,WITHFEELING.AI,https://play.google.com/store/apps/details?id=com.withfeelingai.test,"Dream Avatar, Dating Space, Live Gallery",,,"Data is encrypted in transit, You can request that data be deleted"
HiWaifu: AI Friend & Waifu Hub,LANGUAGE POWER,https://play.google.com/store/apps/details?id=com.hiwaifu.app,"In your Virtual Journey, Chat & Roleplay with AI Character.Chatbot powered by Al","Location, App info and performance, Device or other IDs, App activity","Device or other IDs, Photos and videos, Personal info, App activity","Data is encrypted in transit, You can request that data be deleted"
Simplified AI,Simplified.com,https://play.google.com/store/apps/details?id=co.simplified.main,Create design and videos using AI,Device or other IDs,Personal info,"Data is encrypted in transit, You can request that data be deleted"
Claude by Anthropic,Anthropic PBC,https://play.google.com/store/apps/details?id=com.anthropic.claude,The AI assistant by Anthropic,"App info and performance, Personal info, App activity, Location","App info and performance, Photos and videos, Personal info, Files and docs, App activity, Location","Data is encrypted in transit, You can request that data be deleted"
EVA Character AI & AI Friend,Novi Limited,https://play.google.com/store/apps/details?id=com.ifriend.app,"Chat AI girlfriend or AI boyfriend, AI chat rolepay, romantic AI App","App activity, App info and performance, Financial info, Personal info","Device or other IDs, App activity, Photos and videos, Messages, App info and performance, Financial info, Audio, Personal info","Data is encrypted in transit, You can request that data be deleted"
GenZArt: Fast AI Art Generator,GenZArt,https://play.google.com/store/apps/details?id=com.fourksoft.genzart,"Turn your imagination into stunning images, avatars & stories with GenZArt!",,"Device or other IDs, App info and performance, Personal info, App activity, Photos and videos","Data is encrypted in transit, You can request that data be deleted"
Saylo: AI Character Story Chat,X Original,https://play.google.com/store/apps/details?id=com.xverse.aistory,"Create, Chat and Connect with AI Friends",,"Device or other IDs, App info and performance, Personal info, Messages","Data is encrypted in transit, You can request that data be deleted"
Chatbot AI Assistant - Genie,APPNATION AS,https://play.google.com/store/apps/details?id=co.appnation.geniechat,"Chat with ChatGPT, Gemini, Grok, Deepseek, Qwen, Claude",Device or other IDs,Device or other IDs,"Data is encrypted in transit, You can request that data be deleted"
Summon Worlds — AI Characters,OpenForge LLC,https://play.google.com/store/apps/details?id=com.summonerai.summon,Create & chat with AI characters with voice+images and generate AI worlds,"Device or other IDs, App info and performance, Photos and videos, Location, Contacts, Messages, App activity","Device or other IDs, App info and performance, Photos and videos, Location, Contacts, Messages, Financial info, Personal info, App activity","Data is encrypted in transit, You can request that data be deleted"
Rosytalk-RP lover AI character,Generatively AI Studio,https://play.google.com/store/apps/details?id=com.rosytalk.ai,"Enjoy fantasy RPG chat with various AI pals via text, image, voice, or video.",,,"Data is encrypted in transit, You can request that data be deleted"
Kindroid: Your Personal AI,Kindroid,https://play.google.com/store/apps/details?id=com.kindroid.app,Discover an AI that truly understands you.,,"App activity, Photos and videos, Device or other IDs, App info and performance, Personal info, Messages","Data is encrypted in transit, You can request that data be deleted"
Flipped: Chat & Dating with AI,Kosmos AI,https://play.google.com/store/apps/details?id=com.dating.ai,Meet virtual new friends,,"Personal info, Messages","Data is encrypted in transit, You can request that data be deleted"
ARTA: AI Art & Photo Generator,AIBY Inc.,https://play.google.com/store/apps/details?id=ai.generated.art.maker.image.picture.photo.generator.painting,"AI generated images - headshot, tattoo, cartoon pictures, drawing and painting!","Device or other IDs, Financial info, Location, App activity, Photos and videos","Financial info, Location, App info and performance, App activity","Data is encrypted in transit, You can request that data be deleted"
AI Video Generator - Virbo,WONDERSHARE GLOBAL LIMITED,https://play.google.com/store/apps/details?id=com.virtual.video.i18n,"AI Video Generator: talking photo, avatar talking video, voice clone & captions",,,"Data is encrypted in transit, You can request that data be deleted"
AI Chatbot - Super Chat,Labhouse Mobile,https://play.google.com/store/apps/details?id=io.labhouse.chatbotapp,AI Assistant & Image Generator,"Device or other IDs, App activity, App info and performance",,"Data is encrypted in transit, Data can’t be deleted"
Blush: AI Dating Simulator,Blush AI,https://play.google.com/store/apps/details?id=ai.blush,"Roleplay, dating practice, dating chat, flirting, love game, relationships",App activity,"Personal info, App info and performance, Device or other IDs, App activity","Data is encrypted in transit, You can request that data be deleted"
Next AI - No limit to ask,"GPT AI Technology Co., Ltd.",https://play.google.com/store/apps/details?id=gpt.ai.chat,"Next AI, huge number of prompt word templates, provide the solution you desire",,Device or other IDs,"Data isn’t encrypted, Data can’t be deleted"
AI Chat & AI Writer - Genie,Appfinity.,https://play.google.com/store/apps/details?id=ai.content.generator.writer.assistant,AI Chat & AI Writer. ChatGPT powered AI chat app. Based on OpenAI GPT 4.,Financial info,"App info and performance, Financial info, Device or other IDs, Personal info, App activity","Data is encrypted in transit, You can request that data be deleted"
Nomi: AI Companion with a Soul,Nomi.ai,https://play.google.com/store/apps/details?id=ai.nomi.twa,Meet emotionally intelligent and creative AI companions with human memory.,,"Device or other IDs, Messages, Personal info, App activity, App info and performance","Data is encrypted in transit, You can request that data be deleted"
AI Video - AI Video Generator,HubX,https://play.google.com/store/apps/details?id=ai.video.generator,Use AI Video Generator to turn your words to ai generated videos.,"App activity, Photos and videos, App info and performance, Device or other IDs","Financial info, App activity, App info and performance, Personal info, Device or other IDs","Data isn’t encrypted, Data can’t be deleted"
Mental: AI Therapy,"Mental, Inc.",https://play.google.com/store/apps/details?id=com.getmental.mental,And Tools for Daily Training,,"App info and performance, Location, App activity, Personal info, Device or other IDs","Data is encrypted in transit, You can request that data be deleted"
Storytime AI: Story Generator,Storytime AI LLC,https://play.google.com/store/apps/details?id=com.app.storytimeai,Bring stories to life with this engaging AI story maker & read along storybook.,,,"Data is encrypted in transit, You can request that data be deleted"
Mentor.AI,ProApp - Learn Design,https://play.google.com/store/apps/details?id=app.mentor.ai,AI-Powered mentorship: Your download for limitless growth.,"App activity, Device or other IDs, App info and performance, Personal info, Location","App activity, Device or other IDs, App info and performance, Personal info, Location, Financial info","Data is encrypted in transit, You can request that data be deleted"
Voice & Face Cloning: Clony AI,AI Companion,https://play.google.com/store/apps/details?id=com.voicecopy.app,"Voice & Face Cloning: Clony AI - Clone any Face and Voice (Elevenlabs, DeepFake)",Audio,"Financial info, Device or other IDs, Personal info","Data is encrypted in transit, You can request that data be deleted"
Nerd AI - Tutor & Math Helper,Codeway Dijital,https://play.google.com/store/apps/details?id=com.codeway.homework,Get ready to meet your new favorite AI Tutor: Nerd AI!,,"Device or other IDs, Personal info, App info and performance, App activity","Data is encrypted in transit, Data can’t be deleted"
Growth Mindset AI Coach Rocky,Rocky.ai,https://play.google.com/store/apps/details?id=ai.rocky.app,"AI Chat, Self Improvement, Personal Development, Life Coaching, Mindset, Journal",,"Personal info, Location, Device or other IDs","Data is encrypted in transit, You can request that data be deleted"
AI Chatbot - Chat with AI,Share File Technologies by 090 Bravo,https://play.google.com/store/apps/details?id=com.aichat.chatbot,AI Chatbot powered by ChatGPT & GPT -4. Ask AI anything,"Web browsing, Personal info, App activity, Device or other IDs",,"Data is encrypted in transit, You can request that data be deleted"
AI Chat App - AI Chat bot,App Holdings,https://play.google.com/store/apps/details?id=ai.chat.pro.plus.smart.chatbot.ai.writing.tool,"Boost Productivity with AI Chat App Assistant, your Smart AI Chat Bot",,,"Data is encrypted in transit, Data can’t be deleted"
Fynder AI – Search Anything,Fynder AI LLC,https://play.google.com/store/apps/details?id=com.fynderai.fynderai,The Smartest AI-Powered Search Engine,,Device or other IDs,"Data is encrypted in transit, You can request that data be deleted"
Dialogue: AI Chat & Companion,Pheon,https://play.google.com/store/apps/details?id=com.pheon,Chat with AI Friends: Enjoy engaging conversations and immersive roleplay,App info and performance,"Personal info, Device or other IDs, App info and performance, Messages, App activity","Data is encrypted in transit, You can request that data be deleted"
Monaland: AI RP Utopia,YOURFRIEND PTE. LTD.,https://play.google.com/store/apps/details?id=land.mona,Enjoy chats with diverse AI-bots in this wonderland.,"Personal info, App info and performance",Personal info,"Data is encrypted in transit, You can request that data be deleted"
Learn AI & ML with Python,Coding and Programming,https://play.google.com/store/apps/details?id=ai.artificialintelligence.artificial.intelligence.programming.learn.coding.robotics.leanai,Tutorials & lessons for AI & ML concepts. Learn with Python Programming,,"Device or other IDs, App activity","Data is encrypted in transit, You can request that data be deleted"
