App Name,Publisher,Link,Full Description,Shared Data,Collected Data,Security Practices
Liner: AI Search with Sources,Liner,https://play.google.com/store/apps/details?id=com.getliner.liner,"Powered by the latest AI models, using up to date information.","App info and performance, Device or other IDs, Personal info, Location, App activity","App info and performance, Device or other IDs, Personal info, Location, Photos and videos, Financial info, App activity, Files and docs","Data is encrypted in transit, You can request that data be deleted"
Photoleap: AI Photo Generator,Lightricks Ltd.,https://play.google.com/store/apps/details?id=com.lightricks.photoleap,"Edit photos with art filters, picture blenders, image layers & face swap effects",,"Personal info, App info and performance, App activity, Photos and videos, Device or other IDs, Financial info, Location","Data is encrypted in transit, You can request that data be deleted"
Meco - AI Character Chat,MIYA ONLINE TECHNOLOGY,https://play.google.com/store/apps/details?id=com.ssw.mecord,"Chat with AI characters, AI friends and AI girlfriends",,"App info and performance, App activity, Device or other IDs, Location, Personal info, Photos and videos","Data is encrypted in transit, You can request that data be deleted"
Friday: AI E-mail Assistant,Players Link,https://play.google.com/store/apps/details?id=tech.plink.friday,"Transform your writing with our AI-powered app. Email, Essay, Story, Chat Bot.","App info and performance, Financial info, Personal info, Device or other IDs, App activity","Personal info, Messages, App activity","Data is encrypted in transit, You can request that data be deleted"
Sider AI: All-in-One Companion,Sider.ai,https://play.google.com/store/apps/details?id=ai.sider.ChatGPT.android,"Instant AI chat, file insights & custom bots—powered by DeepSeek, Claude, Gemini",,,
Adobe Express: Videos & Photos,Adobe,https://play.google.com/store/apps/details?id=com.adobe.spark.post,"Simplify content creation: AI, graphic design, logo maker, flyer creator & more","Personal info, Location, App activity, App info and performance, Device or other IDs","Personal info, Location, Photos and videos, App activity, App info and performance, Device or other IDs","Data is encrypted in transit, You can request that data be deleted"
DeepScope・AI Search & Browser,AIBY Inc.,https://play.google.com/store/apps/details?id=ai.search.engine.browser,Ask anything with our AI-powered tool - a smart search engine for all your needs,"App info and performance, App activity, Location, Device or other IDs, Personal info, Financial info","App info and performance, App activity, Location, Device or other IDs, Personal info, Financial info","Data isn’t encrypted, You can request that data be deleted"
MixerBox AI: Chat AI Browser,MB Tools,https://play.google.com/store/apps/details?id=com.mixerbox.browser,Powered by OpenAI ChatGPT 4. Chat GPT powered chatbot app with browsing plugin!,App info and performance,"App info and performance, Personal info, Device or other IDs, App activity","Data is encrypted in transit, You can request that data be deleted"
"Filmora：AI Video Editor, Maker",Wondershare Filmora,https://play.google.com/store/apps/details?id=com.wondershare.filmorago,"AI Video Editor：AI Music, Text to Video,Text to Speech,Auto Caption,Video Effect",,,"Data isn’t encrypted, You can request that data be deleted"
Momo - AI Photo Generator,ScaleUp,https://play.google.com/store/apps/details?id=com.scaleup.dreame,"Create Business Headshots, Travel Selfies, Profile Pics and Realistic AI Photos","App activity, Device or other IDs, Photos and videos, App info and performance","App activity, Device or other IDs, App info and performance","Data is encrypted in transit, Data can’t be deleted"
Flux AI: Photo Creator,UNIVERLIST TEKNOLOJI SAN. VE TIC. AS.,https://play.google.com/store/apps/details?id=ai.photo.app,"Create Realistic Photos, Selfies, Instant Photos","Location, Device or other IDs, Financial info, App info and performance, Personal info","Device or other IDs, Financial info, Photos and videos, App activity, App info and performance, Personal info","Data is encrypted in transit, You can request that data be deleted"
AI Photo Editor - Polish,InShot Inc.,https://play.google.com/store/apps/details?id=photo.editor.photoeditor.photoeditorpro,"Polish photo editing app with AI enhancer, Background remover, Pic collage maker",,"Device or other IDs, App info and performance, Photos and videos, App activity, Files and docs","Data is encrypted in transit, You can request that data be deleted"
"AI Photo Editor, Collage-Fotor",AI Art Photo Editor | Everimaging Ltd.,https://play.google.com/store/apps/details?id=com.everimaging.photoeffectstudio,"AI photo enhancer, professional headshot, restore old photos, ai video generator","Financial info, App info and performance, Personal info, Device or other IDs, App activity","App info and performance, Personal info, Device or other IDs, App activity","Data is encrypted in transit, You can request that data be deleted"
AI Chat - Your AI Friend,Aiway LLP,https://play.google.com/store/apps/details?id=com.ai.chat.artificial.intelligence.aichat,"AI-powered chat app for communication, learning, and creative text generation","Financial info, App info and performance, App activity, Device or other IDs, Personal info, Location","Financial info, App info and performance, App activity, Device or other IDs, Location","Data is encrypted in transit, You can request that data be deleted"
AI Effect Video Maker -Livensa,FERASET,https://play.google.com/store/apps/details?id=com.feraset.livensa,Our advanced AI interprets your words and crafts them into unforgettable videos!,"App info and performance, Device or other IDs, Financial info, Location, Photos and videos, App activity","App info and performance, Device or other IDs, Financial info, Location, Photos and videos, App activity","Data isn’t encrypted, Data can’t be deleted"
AI BookCraft: Story generator,KIM SUN WOO,https://play.google.com/store/apps/details?id=com.secondearth.bookai,"AI story generator & book writer. Write, edit & publish ebooks effortlessly.",,"Photos and videos, Personal info, Device or other IDs, App info and performance, App activity, Location","Data isn’t encrypted, You can request that data be deleted"
Knowunity: AI Study Helper,Knowunity,https://play.google.com/store/apps/details?id=de.knowunity.app,"Learn with AI, flashcards, school notes, quizzes | classes, exam & homework help","App info and performance, Device or other IDs","Personal info, App info and performance, Photos and videos, App activity, Files and docs, Messages","Data is encrypted in transit, You can request that data be deleted"
Praktika - Learn New Languages,Praktika.ai Company,https://play.google.com/store/apps/details?id=ai.praktika.android,Practice English & Spanish with AI,,"Audio, App info and performance, Personal info, Device or other IDs","Data is encrypted in transit, You can request that data be deleted"
SeaArt: AI Art Generator,SeaArt,https://play.google.com/store/apps/details?id=ai.seaart.app.global,AI Image Design & Editor APP,"App info and performance, Personal info, Device or other IDs, App activity, Financial info","Files and docs, Messages, Personal info, Device or other IDs, App activity, Financial info, Photos and videos","Data is encrypted in transit, You can request that data be deleted"
AI Video Editor: ShotCut AI,Shotcut Video Workshop,https://play.google.com/store/apps/details?id=video.editor.videomaker.effects.fx,"AI editing app for videos, slideshows, and movies.Pro video editor & maker.",Device or other IDs,,"Data is encrypted in transit, Data can’t be deleted"
Avatarro: AI Avatar Maker,Kallossoft,https://play.google.com/store/apps/details?id=kallossoft.avatar,Transform your selfies into a unique avatar with a stable diffusion AI generator,,,"Data is encrypted in transit, Data can’t be deleted"
Listen AI: Text to Speech,Codespace Dijital,https://play.google.com/store/apps/details?id=com.codespaceapps.listeningapp,"Listen to Documents & Articles with AI Voices. Audio for Web, PDFs & Notes",,"App info and performance, Device or other IDs, App activity","Data is encrypted in transit, Data can’t be deleted"
Days AI - AI Anime Art & Chat,Meltly Inc.,https://play.google.com/store/apps/details?id=com.dayseum.app,Color your everyday with your OC!,"Personal info, App activity","Personal info, App activity, Device or other IDs","Data is encrypted in transit, You can request that data be deleted"
Mathos AI: Math Helper & Tutor,MathGPTPro,https://play.google.com/store/apps/details?id=com.mathgptpro.mclient,AI Math Solver and Homework Helper Providing Step-by-Step Solutions and Answers.,,,"Data is encrypted in transit, You can request that data be deleted"
PhotoSolve: AI Homework Helper,"CoinCircle, Inc.",https://play.google.com/store/apps/details?id=com.gansoft.photosolve,"Photo, solve, and learn any questions effortlessly with PhotoSolve powerful AI!",,"App activity, App info and performance, Device or other IDs",Data is encrypted in transit
PixVerse: AI Video Generator,PixVerse,https://play.google.com/store/apps/details?id=com.pixverseai.pixverse,Create AI Effects for your photos,"Personal info, Location, Device or other IDs, App activity, Files and docs","Personal info, Messages, Location, Audio, Device or other IDs, App activity, Files and docs","Data is encrypted in transit, You can request that data be deleted"
VideoGPT - AI Video Generator,ElevenThirteen,https://play.google.com/store/apps/details?id=com.elven.video,Generate AI Videos in seconds,"App activity, App info and performance",,"Data isn’t encrypted, You can request that data be deleted"
PhotoApp - AI Photo Enhancer,ScaleUp,https://play.google.com/store/apps/details?id=com.scaleup.photofx,Enhance photo quality with AI Photo Enhancer. Restore & unblur old photos.,"Photos and videos, Device or other IDs, App activity, App info and performance","Device or other IDs, Financial info, App activity, Personal info, App info and performance","Data isn’t encrypted, Data can’t be deleted"
Face & Body Editor - AI Photo,Photo Editor & Collage Maker,https://play.google.com/store/apps/details?id=breastenlarger.bodyeditor.photoeditor,"Powerful body editor & face app - AI photo, fit body, face retouch & collage",,"Device or other IDs, Files and docs, App info and performance, App activity, Photos and videos","Data is encrypted in transit, You can request that data be deleted"
Music AI:Cover Song & Video AI,Video & Music AI - Create Video & Make Songs,https://play.google.com/store/apps/details?id=com.singgenix.suno,Make Song with Suno ai. Create AI Cover Voice. Generate Video with Sora AI GPT.,"Device or other IDs, Personal info","Device or other IDs, Personal info","Data is encrypted in transit, You can request that data be deleted"
Parrot: Voice Generator AI App,Parrot Ai Voice Generator,https://play.google.com/store/apps/details?id=com.parrot.ai_voice_generator_changer,Celebrity prank text to speech,Device or other IDs,,"Data is encrypted in transit, You can request that data be deleted"
제타(zeta) - 상상이 현실이 되는 AI 채팅,"Scatter Lab, Inc.",https://play.google.com/store/apps/details?id=com.scatterlab.messenger,Dreams become reality! Complete your own story through AI chat with various characters.,,"Messages, App info and performance, Personal info, Device or other IDs, App activity, Photos and videos","Data is encrypted in transit, You can request that data be deleted"
Quiz AI: AI Homework Helper,INTSIG PTE,https://play.google.com/store/apps/details?id=com.intsig.camexam,"Scan to Solve. Study Assistant & Math Solver. AI Chatbot, Get Instant Help！",,Personal info,"Data is encrypted in transit, You can request that data be deleted"
PhotoDirector: AI Photo Editor,Cyberlink Corp,https://play.google.com/store/apps/details?id=com.cyberlink.photodirector,"Create & Edit with AI: AI Remove, Retouch, Enhance, Style Transfer, Hairstyle",,"Device or other IDs, Location, Photos and videos, App activity, App info and performance, Personal info","Data is encrypted in transit, You can request that data be deleted"
Revive: Animation & AI Photos,REFACEAI LIMITED,https://play.google.com/store/apps/details?id=revive.app,"AI Hugs: picture to video. Animate photos with AI magic, bringing them to life","Photos and videos, App info and performance","Audio, Location, Financial info, App activity, Device or other IDs",Data is encrypted in transit
D-ID: AI Video Generator,D-ID,https://play.google.com/store/apps/details?id=com.deidentification.studio,Transform your ideas into videos with talking avatars using Generative AI.,"Location, Device or other IDs","Photos and videos, Personal info, App activity, App info and performance, Audio","Data is encrypted in transit, You can request that data be deleted"
Video AI Art Generator & Maker,Codeway Dijital,https://play.google.com/store/apps/details?id=com.codeway.videoapp,AI photo to video maker. Video generation in seconds with Video AI Art Generator,"Photos and videos, Personal info, App activity, App info and performance, Financial info, Audio, Location, Device or other IDs","Personal info, App activity, App info and performance, Financial info, Location, Device or other IDs","Data isn’t encrypted, Data can’t be deleted"
Athena AI Life AdvisorGPT,Athena AI Ventures Inc,https://play.google.com/store/apps/details?id=app.athenaai,AI counselor and coach with journal and community support powered by ChatGPT!,Financial info,"Device or other IDs, Personal info, Financial info, App activity, Messages, App info and performance","Data isn’t encrypted, You can request that data be deleted"
Q-AI Chatbot Assistant,SOLID APPS INC,https://play.google.com/store/apps/details?id=com.suponoholdings.grokchat,Experience the Power of Q-AI Chatbot Assistant for fast assistance with any task,,"Files and docs, App info and performance, App activity, Personal info, Photos and videos","Data is encrypted in transit, You can request that data be deleted"
StudyX: AI Homework Helper,StudyX Inc.,https://play.google.com/store/apps/details?id=com.brilian.studyx.student,Math Solver & Photo Math,"App info and performance, Financial info, Device or other IDs","App info and performance, Financial info","Data is encrypted in transit, You can request that data be deleted"
Learn Languages - Lucida AI,Lucida AI Teknoloji Anonim Sirketi,https://play.google.com/store/apps/details?id=com.lucida.androidapp,AI Language tutor: Speak fluently with Lucy’s personalized coaching,Audio,"App info and performance, Audio, Personal info, Device or other IDs","Data isn’t encrypted, You can request that data be deleted"
뤼튼 - 제일 쉬운 AI,wrtn,https://play.google.com/store/apps/details?id=com.wrtn.app,Quickly perform various tasks such as real-time search and image creation,,"Messages, App info and performance, Personal info, App activity","Data is encrypted in transit, You can request that data be deleted"
Chat AI: AI Chat Bot Assistant,SEA MOBILE LTD,https://play.google.com/store/apps/details?id=com.ai.chat.bot.aichat,AI Chat is building on GPT-4 and GPT-4o. Chat with AI characters & AI Assistant.,,,"Data isn’t encrypted, Data can’t be deleted"
AI Hay – Smart Local AI,AI HAY,https://play.google.com/store/apps/details?id=com.hay1.tintuc,Get precise AI answers with trusted sources and local insights,,"Contacts, Personal info","Data is encrypted in transit, You can request that data be deleted"
Hailuo AI: AI Video Generator,MiniMax AI,https://play.google.com/store/apps/details?id=ai.hailuo.video,AI-powered video creator by MiniMax - Where ideas meet cinema,"Device or other IDs, App info and performance, Photos and videos, Messages, Financial info, Personal info, App activity","Device or other IDs, Messages, Financial info, Personal info, App activity","Data is encrypted in transit, You can request that data be deleted"
AI Chatbot: Chat AI Ultra,Connectinno,https://play.google.com/store/apps/details?id=com.connectinno.chataiultraapp,AI Chatbot powered by the latest AI models. Ask Chat AI Ultra to write anything.,,Personal info,"Data is encrypted in transit, You can request that data be deleted"
Fantasy Chat AI,DREAMASTER,https://play.google.com/store/apps/details?id=my.ai.chat.character.entertainment,Roleplay Fantasy AI lets you enjoy the AI Dating fun,,"Photos and videos, Audio, Personal info, Device or other IDs, App info and performance, App activity, Financial info","Data is encrypted in transit, You can request that data be deleted"
SpicyCharacter: AI Chat,Somes Teknologi Indonesia,https://play.google.com/store/apps/details?id=ai.spicy.character.spicychat.app,Discover Spicy Character: Your Gateway to Authentic AI Conversations,"Device or other IDs, Personal info",,"Data is encrypted in transit, You can request that data be deleted"
Chat AI - Chatbot for GPT,Particlethink LLC,https://play.google.com/store/apps/details?id=com.particlethink.chatai.android,Ultimate AI Assistant,,,Data is encrypted in transit
TruMate - Character AI Chat,AI Dreamweaver,https://play.google.com/store/apps/details?id=com.bliss.virtual.soulmate,Your Personal AI Companion for the Digital Age,,"Photos and videos, App activity, Location, App info and performance, Device or other IDs","Data is encrypted in transit, Data can’t be deleted"
Trend AI - Happy Chat Anytime,Sobuj Roy,https://play.google.com/store/apps/details?id=com.sabuj.roy.kumar.trendai,"Engage in smart, mood-aware conversations with our adaptive AI.","App info and performance, Personal info, Location, Device or other IDs","App info and performance, Personal info, App activity, Location, Photos and videos, Device or other IDs","Data isn’t encrypted, Data can’t be deleted"
Spellai - AI Art Maker,POLYVERSE INC.,https://play.google.com/store/apps/details?id=com.ai.polyverse.spell.pro,Text to Image & Image to Video,Device or other IDs,,"Data is encrypted in transit, Data can’t be deleted"
Limitless AI・ChatBot Assistant,SmartFox Labs,https://play.google.com/store/apps/details?id=app.smartfox.lab.limitless.ai.chatgpt.gpt4,Chat bot powered by ChatGPT API・Ask Virtual Al assistant questions・Essay Writer,Device or other IDs,,"Data is encrypted in transit, Data can’t be deleted"
DaVinci - AI Image Generator,HubX,https://play.google.com/store/apps/details?id=com.hubx.imagination,AI Art Generator transforms your words into AI generated art & paintings.,"App info and performance, App activity, Device or other IDs, Photos and videos","App info and performance, App activity, Device or other IDs","Data isn’t encrypted, Data can’t be deleted"
Ask Me Anything - AI Chatbot,EVOLLY HK,https://play.google.com/store/apps/details?id=evolly.ai.chatbot.chatgpt,"Powered by ChatGPT & GPT-4o, Your Virtual AI Assistant on your pocket.","Device or other IDs, Location, App info and performance","Device or other IDs, Location, App info and performance","Data is encrypted in transit, Data can’t be deleted"
"Jelly AI: Create, Chat, Enjoy",IslamicApps,https://play.google.com/store/apps/details?id=com.yunnovelapp.jelly,"Engage with fun, lifelike AI characters in real time",,,"Data is encrypted in transit, You can request that data be deleted"
Susan - AI Anime Chat,Susan AI,https://play.google.com/store/apps/details?id=com.airoleplaychat.aichatallworld,Roleplay with AI friends,App info and performance,,"Data is encrypted in transit, You can request that data be deleted"
MateAI-AI Chat Bot Assistant,Saeta Tech Ltd.,https://play.google.com/store/apps/details?id=com.aichatbot.mateai,AI writing & Task assistant powered by ChatGPT & DeepSeek. Ask AI any question,Device or other IDs,Device or other IDs,"Data is encrypted in transit, You can request that data be deleted"
CreArt - AI Image Generator,Waitos AI,https://play.google.com/store/apps/details?id=ai.aiart.aiartgenerator.creart,"AI Art Generator to create unique Photos, AI Generated Art, Pictures and Drawing",Device or other IDs,"App activity, App info and performance","Data is encrypted in transit, Data can’t be deleted"
Ai Chatbot - Talk to Ai Bot,Card Scanner,https://play.google.com/store/apps/details?id=com.open.ai.chat.bot.ask.questions,"Chat with Ai chatbot app. Generate images, get homework help, and talk to Ai bot",Location,Personal info,"Data is encrypted in transit, You can request that data be deleted"
Julius AI,Julius AI,https://play.google.com/store/apps/details?id=julius.ai,AI Personal Assistant for Data and Math,,"App info and performance, App activity, Personal info, Photos and videos, Financial info, Files and docs, Messages, Device or other IDs","Data is encrypted in transit, You can request that data be deleted"
AI Anime Art : Animagic,Magic AI,https://play.google.com/store/apps/details?id=com.vyroai.animeart,"Generate stunning AI Anime Art, drawings and paintings using Anime Diffusion",,,"Data is encrypted in transit, You can request that data be deleted"
AI Voice Chat Bot: Open Wisdom,Kalrom Systems LTD,https://play.google.com/store/apps/details?id=com.KalromSystems.VoiceChatGPT,(Powered by ChatGPT4o & OpenAI o1) Artificial Intelligence Virtual Assistant,,"App activity, Messages, App info and performance","Data is encrypted in transit, Data can’t be deleted"
AI Girlfriend - TruMate,AI Design Labs,https://play.google.com/store/apps/details?id=com.aichatbot.aimate,Chat with your AI girlfriend and find your perfect virtual life companion.,,,"Data isn’t encrypted, Data can’t be deleted"
RolePlai - Ai Chat Bot,RolePlai,https://play.google.com/store/apps/details?id=com.roleplai.app,"Voice or message Ai Girlfriend, Life Coach or create your own character.","Device or other IDs, App activity",Personal info,"Data is encrypted in transit, You can request that data be deleted"
Character.Me: AI Roleplay Chat,AI CODE,https://play.google.com/store/apps/details?id=com.wuz3470z.characterpro,"Chat with AI virtual chatbot, AI dating simulator, roleplay chat game",,,"Data is encrypted in transit, You can request that data be deleted"
Lisa AI: AI Art Generator,Convert Software,https://play.google.com/store/apps/details?id=com.inspire.ai,"AI Avatar Photo, Image Maker",App info and performance,,"Data isn’t encrypted, You can request that data be deleted"
AI Video Generator : SelfyzAI,Mivo studio,https://play.google.com/store/apps/details?id=com.cam001.selfie361,"AI Photo to Video,Photo Dance,Face Dance,Talking Photo,AI Image Generator,Retake","Device or other IDs, App activity, App info and performance","Device or other IDs, Personal info, App activity, App info and performance","Data is encrypted in transit, Data can’t be deleted"
Chat AI - Ask AI anything,"AI Chat Bot, Ask AI",https://play.google.com/store/apps/details?id=com.benben.bah.openal,"Al chatbot assistant, Ask Al any questions","Device or other IDs, App info and performance",,"Data is encrypted in transit, Data can’t be deleted"
Sakura - Chat with AI Bots,"Sakura AI, LLC",https://play.google.com/store/apps/details?id=fm.sakura.app,Chat with AI Characters for free,"App info and performance, Personal info, Device or other IDs",Personal info,"Data is encrypted in transit, You can request that data be deleted"
Soul AI - Characters Chat,Meta Innovation,https://play.google.com/store/apps/details?id=com.mi.soul.ai,"Chat with AI Characters, with great avatars and background images",,Personal info,"Data is encrypted in transit, You can request that data be deleted"
AI Art Photo & Video Generator,Smart AI DEV,https://play.google.com/store/apps/details?id=com.ai.avatar.face.portrait.app,Try AI hug Video & face aging & baby generator. Edit and enhance art photos.,,"App info and performance, Device or other IDs, Photos and videos, Personal info, App activity","Data is encrypted in transit, Data can’t be deleted"
Open Chat - AI bot app,AceTools Team,https://play.google.com/store/apps/details?id=open.chat.gpt.aichat.bot.free.app,AI Chatbot and AI writing assistant powered by ChatGPT.,,"App info and performance, Device or other IDs, App activity","Data is encrypted in transit, You can request that data be deleted"
Uknow.AI: Homework&Math Solver,Study Evolution Edtech,https://play.google.com/store/apps/details?id=com.studyevolution.android.anemo,Unlimited ask AI tutor for all subjects. Snap and Solve math.,Device or other IDs,"Photos and videos, Personal info, Device or other IDs, App activity, App info and performance, Financial info","Data is encrypted in transit, You can request that data be deleted"
Chat AI - AI Chatbot Assistant,msc slution,https://play.google.com/store/apps/details?id=com.msc.ai.chat.bot.aichat,Chat AI - Smart chat solution on mobile application,,"Device or other IDs, App info and performance","Data isn’t encrypted, Data can’t be deleted"
Cute AI - Immersive Chat,Shifa'ul Asqam (The Complete Diwani),https://play.google.com/store/apps/details?id=io.kodular.bayeinyass253.cute,Whimsical Chat Adventures,"App info and performance, Location, Personal info","App info and performance, Device or other IDs, App activity, Photos and videos, Files and docs, Location, Personal info","Data isn’t encrypted, Data can’t be deleted"
QuicK AI Writer - AI ChatBot,Xinxin Tools,https://play.google.com/store/apps/details?id=com.smart.chat.yi.aichatyi,Ideal for 1M+ content creators and entrepreneurs as their AI writing partner.,"Device or other IDs, App activity, App info and performance, Location",,"Data is encrypted in transit, Data can’t be deleted"
AI Speech Chatbot Text & Voice,Kalrom Systems LTD,https://play.google.com/store/apps/details?id=com.KalromSystems.AIVoiceChatOpenWisdom,AI Voice Chat: Open Wisdom is a vocal Artificial intelligence Built with ChatGPT,,"Messages, App info and performance, App activity, Financial info","Data is encrypted in transit, Data can’t be deleted"
Funny _Happy Chat,"KY Technology Co., Ltd.",https://play.google.com/store/apps/details?id=com.funnyai.chatplay,Engage in immersive role-playing chats with AI characters and unlock unique img!,"Location, Device or other IDs, App activity, Personal info, App info and performance","Photos and videos, Messages, Location, Personal info","Data isn’t encrypted, Data can’t be deleted"
Amor AI: AI Chat Fun,Amor Character AI,https://play.google.com/store/apps/details?id=com.cocoai.aigf,Play with AI Friends,,Personal info,"Data is encrypted in transit, You can request that data be deleted"
Hiyaa.AI - Character Chat Bot,Amber Mobile Limited,https://play.google.com/store/apps/details?id=wisemate.ai,"Hiyaa.AI: Chat, share, and connect with diverse AI characters anytime, anywhere!","Personal info, App info and performance, App activity, Device or other IDs","Personal info, App info and performance, Photos and videos, App activity, Device or other IDs, Messages","Data isn’t encrypted, You can request that data be deleted"
Artificial Intelligence,Softecks,https://play.google.com/store/apps/details?id=in.softecks.artificialintelligence,Acquire all the Concepts of Artificial Intelligence (AI) along with AI chat,"Device or other IDs, Location",,"Data is encrypted in transit, Data can’t be deleted"
AI ChatBot,KRUTAGNA INFOTECH,https://play.google.com/store/apps/details?id=com.ai.chatbot.aiart,"AI Chatbot that writes messages and stories. Use AI easily, even after calls!","Location, App info and performance, Device or other IDs, App activity",,"Data is encrypted in transit, Data can’t be deleted"
Real AI,Oblivionburn,https://play.google.com/store/apps/details?id=com.oblivionburn.nlp,Natural Language Processor - The Real AI,,,
Vivid AI: AI Image Generator,Cyberlink Corp,https://play.google.com/store/apps/details?id=com.cyberlink.vividai,"AI Headshot Generator, AI Photo Editor, AI Drawing, AI Filter & AI Art Maker","App info and performance, App activity, Location","Device or other IDs, Personal info, Photos and videos","Data is encrypted in transit, You can request that data be deleted"
"AI Hug & Photo Enhancer, Evoke",Guru AI Lab,https://play.google.com/store/apps/details?id=ai.photo.enhancer.ig.tiktok.editor.remini.pixelup.hd.free,"Powerful AI enhancer! Enhance, descratch, and colorize your old photos.",,"App activity, Device or other IDs, App info and performance",Data isn’t encrypted
AI Writer: Chatbot Assistant,Revoto,https://play.google.com/store/apps/details?id=com.content.writing.assistant.ai,Powered by advanced GPT4 AI Asking - Chat with AI Open Smart Chat Assistant,,Device or other IDs,"Data is encrypted in transit, Data can’t be deleted"
"AI Art Generator: Photo, Draw",Smart AI DEV,https://play.google.com/store/apps/details?id=ai.art.generator.paint.draw.photo,"Generate AI Artworks! Wonderful AI art photos & pic painting, drawing maker.",,"App activity, Device or other IDs, App info and performance, Photos and videos, Personal info","Data is encrypted in transit, You can request that data be deleted"
AI Photo Editor - AI Morph,Daily Joy Studio,https://play.google.com/store/apps/details?id=photoeditor.aiart.animefilter.snapai,"AI anime, PS2 filter and cartoon character generator - AI photo generator.",,"Files and docs, App info and performance, Photos and videos",Data is encrypted in transit
Circle to Search Anything AI,Hera Labs (Downloader & Editor),https://play.google.com/store/apps/details?id=com.circletosearchai.lens,Ai-powered feature to simplify search information by circling anything on screen,,,"Data isn’t encrypted, Data can’t be deleted"
Ask AI Bot powered by ChatGPT,Writecream,https://play.google.com/store/apps/details?id=com.writecream.chat,AI chatbot powered by OpenAI's ChatGPT and GPT4. Write any content in seconds.,,,"Data is encrypted in transit, You can request that data be deleted"
"ChatJoy AI Chat, AI Character",Ask AI GirlFriend & AI Video Generator,https://play.google.com/store/apps/details?id=beat.music.motion.tempo.video.editor.filmola,"ChatJoy AI Chatbot Powered by ChatGPT, text-based immersive RPG adventure story!","App info and performance, Device or other IDs, App activity",,"Data is encrypted in transit, Data can’t be deleted"
Dream Girl : Chat AI,"Hangzhou Aoben Jizhi Technology Co., Ltd.",https://play.google.com/store/apps/details?id=com.ai.dreamgril,"Explore deep, personalized AI interactions with Dream Girl.","Personal info, App activity, Device or other IDs, Location, App info and performance","Personal info, App activity, Photos and videos, Device or other IDs, Location","Data isn’t encrypted, Data can’t be deleted"
Dally - Image & Art Generator,Captain Show LLC,https://play.google.com/store/apps/details?id=ai.art.image.generator.avatar,"Generate unique Art from your photo. Many different styles: Drawing, Anime etc.",,,"Data is encrypted in transit, You can request that data be deleted"
Anne: Virtual AI Roleplay Chat,Lucky AI,https://play.google.com/store/apps/details?id=com.elapp.anne,Dive into immersive AI chats that adapt to your interests.,,,"Data is encrypted in transit, You can request that data be deleted"
AI Photo Generator - Umagic AI,Daily Joy Studio,https://play.google.com/store/apps/details?id=umagic.ai.aiart.aiartgenrator,Turn words & images into incredible AI Art in seconds!,,"Files and docs, Photos and videos, App info and performance",Data is encrypted in transit
ReShot : AI Photo Generator,Vyro AI,https://play.google.com/store/apps/details?id=ai.vyro.retake,Create professional AI portraits & toon up your photos with cool anime filters,,,"Data is encrypted in transit, You can request that data be deleted"
Oceans of AI - All AI Tools,Blue Planet Apps,https://play.google.com/store/apps/details?id=in.blueplanetapps.oceansofai,Access 2500+ AI tools in one app.,"App activity, Device or other IDs, App info and performance",Device or other IDs,"Data is encrypted in transit, Data can’t be deleted"
AI Chat App - AI Chatbot,Airport Flights Status™,https://play.google.com/store/apps/details?id=com.aichatbot.chatassistantapp,"AI chatbot assistant, proofreader and AI writer for your ease.",,,Data is encrypted in transit
MindSync: AI Photo Editor,Apero Vision Lab,https://play.google.com/store/apps/details?id=com.mindsync.aiphoto.aiart.photoeditor,MindSync: Elevate photos with AI art in a seamless photo editor experience,"Device or other IDs, Photos and videos",,"Data is encrypted in transit, Data can’t be deleted"
Face Me - AI Art Photo Editor,Fillog Studio,https://play.google.com/store/apps/details?id=com.ai.photoeditor.fx,"One-stop AI Photo Editor: Face Swap, Change Age, Photo Enhance, Face Animation",,,Data is encrypted in transit
Fantasy.AI:Chat With Character,21 DREAMS ARTS & CULTURE INC,https://play.google.com/store/apps/details?id=online.fantasyai.android,Fantasy.AI instantly generates unique avatars and personalized conversations,"Messages, App info and performance, Personal info, App activity, Photos and videos, Device or other IDs",,"Data isn’t encrypted, You can request that data be deleted"
Anima: AI Friend Virtual Chat,LABANE CORP. LTD,https://play.google.com/store/apps/details?id=anima.virtual.ai.robot.friend,Create Your AI Friend for Roleplay or Just a Talk,"App info and performance, App activity, Personal info, Device or other IDs","App info and performance, App activity, Personal info, Audio, Device or other IDs, Photos and videos","Data is encrypted in transit, You can request that data be deleted"
Fling AI Friend & Roleplay,Pixery Bilgi Teknolojileri,https://play.google.com/store/apps/details?id=com.pixerylabs.aifriend,Meet Your AI Lover & Flirty Chats with AI Companion,"Device or other IDs, Financial info","Device or other IDs, Financial info, Personal info, Photos and videos, Messages","Data is encrypted in transit, Data can’t be deleted"
Spicy Chat: AI boy & girl,Walking Technology,https://play.google.com/store/apps/details?id=ai.spicy.spicychat.mate,Experience Captivating Conversations and Romance with Your AI Virtual Mate!,"Personal info, Device or other IDs",,"Data is encrypted in transit, You can request that data be deleted"
AI GirlFriend Soulful AI Mate,"AI Music AI Video Generator, AI Chat AI Girlfried",https://play.google.com/store/apps/details?id=com.xvideostudio.videodownload,"Taylor - True Mate, Ultimate AI Girl Intelligent AI Companion Talk with ChatGPT","App info and performance, Device or other IDs","Financial info, Location","Data is encrypted in transit, Data can’t be deleted"
